Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V
1328,2,white_wine,8.00,1.01,3.62,3.35,1.25,23.10,5.28,0.30,34.10,55.51,0.74,2.11,3.65,4.65,0.11
1329,4,red_wine,7.65,1.02,10.32,3.34,2.30,26.50,7.39,4.05,4.40,14.91,1.13,5.33,5.84,3.55,0.15
1330,5,white_wine,8.20,1.02,3.20,3.23,10.95,26.30,2.38,4.95,56.65,58.46,1.32,2.67,3.94,7.60,0.02
1331,4,white_wine,8.10,1.01,3.91,3.45,1.44,20.50,2.64,4.35,18.70,28.97,0.73,1.18,4.67,3.15,0.09
1332,2,red_wine,8.10,1.02,22.93,3.65,2.30,24.70,3.56,3.60,29.70,42.41,1.50,3.60,4.67,2.10,0.10
1333,3,red_wine,8.05,1.02,3.30,3.45,3.06,30.90,7.39,3.60,30.80,35.08,1.56,5.95,6.57,2.35,0.11
1334,3,white_wine,8.10,1.02,2.37,3.30,2.87,25.90,5.68,5.10,13.20,23.83,1.46,2.48,4.23,6.45,0.02
1335,4,red_wine,9.50,1.01,4.00,3.60,2.49,24.30,8.84,0.15,11.00,27.24,1.72,3.10,2.63,0.60,0.20
1336,3,white_wine,7.70,1.02,4.68,3.35,14.65,22.90,2.77,2.70,22.00,30.64,1.34,1.92,4.09,5.50,0.04
1337,4,white_wine,7.55,1.02,13.81,3.51,12.18,22.10,1.45,3.90,53.90,61.83,1.01,2.42,2.04,7.05,0.19
1338,3,red_wine,7.65,1.02,7.62,3.57,2.30,24.90,5.54,7.05,22.00,34.50,1.03,4.77,5.11,3.35,0.15
1339,3,white_wine,7.80,1.02,1.94,3.42,1.92,22.70,2.11,4.35,51.70,57.12,1.24,2.67,4.09,8.95,0.26
1340,2,white_wine,8.30,1.02,3.28,3.53,7.14,24.90,4.88,4.80,17.60,27.76,1.53,2.17,2.77,5.55,0.20
1341,3,red_wine,8.15,1.02,4.20,3.63,2.49,23.90,6.20,2.25,19.80,29.66,1.49,4.15,5.40,1.70,0.41
1342,3,white_wine,7.85,1.02,5.78,3.57,12.09,23.50,2.11,4.95,33.00,43.67,1.84,2.29,2.63,6.95,0.07
1343,4,white_wine,8.70,1.01,5.72,3.38,5.91,23.90,1.85,4.80,20.90,28.42,2.12,1.98,4.82,5.65,0.25
1344,4,white_wine,7.90,1.02,2.87,3.30,11.71,24.50,1.72,5.10,39.60,61.08,0.91,2.11,4.09,10.35,0.02
1345,3,white_wine,8.55,1.01,2.07,3.46,2.68,21.90,4.49,5.40,19.80,36.53,1.96,1.55,3.80,3.55,0.18
1346,4,white_wine,7.90,1.02,19.34,3.37,10.09,25.10,2.64,5.85,63.80,76.82,1.09,2.23,5.99,10.15,0.22
1347,4,red_wine,8.45,1.02,7.52,3.74,2.68,23.70,9.31,0.00,14.30,27.42,1.83,5.89,4.82,1.20,0.08
1348,3,white_wine,7.50,1.02,0.50,3.47,15.88,23.10,1.98,5.40,46.20,66.03,1.28,1.80,2.77,6.35,0.08
1349,4,red_wine,8.35,1.02,1.73,3.53,2.21,28.30,5.54,4.50,7.70,14.42,1.06,3.47,7.15,0.55,0.09
1350,5,red_wine,8.65,1.02,6.00,3.35,2.58,31.30,3.70,8.55,5.50,13.64,1.64,4.84,7.30,0.70,0.25
1351,4,white_wine,9.25,1.01,1.25,3.46,3.92,21.70,2.77,4.95,31.90,45.84,1.57,1.24,2.92,4.10,0.10
1352,4,white_wine,8.35,1.02,0.38,3.19,8.86,26.90,1.85,4.50,17.60,29.01,2.12,0.93,1.75,5.60,0.12
1353,3,red_wine,7.80,1.02,5.65,3.73,2.21,24.90,8.18,0.00,11.00,22.57,0.96,4.15,4.96,1.40,0.13
1354,5,white_wine,8.75,1.01,2.91,3.47,4.44,22.30,4.75,4.20,46.20,48.00,2.07,1.43,3.65,6.30,0.09
1355,3,red_wine,7.70,1.02,4.97,3.46,2.49,25.50,11.29,6.45,23.10,34.41,0.82,6.51,7.45,5.40,0.26
1356,5,white_wine,9.40,1.01,4.55,3.37,2.40,23.70,1.72,4.05,27.50,40.01,1.41,1.30,5.69,6.65,0.25
1357,2,white_wine,7.60,1.02,4.76,3.69,4.96,25.90,1.06,4.50,39.60,45.30,0.86,1.74,3.21,8.25,0.16
1358,2,white_wine,8.80,1.01,2.90,3.11,1.40,26.90,2.77,4.35,3.30,16.64,1.77,1.43,1.46,2.45,0.02
1359,4,white_wine,8.30,1.01,1.82,3.33,5.72,22.70,1.85,3.30,33.00,38.36,1.20,1.86,3.50,6.10,0.19
1360,5,white_wine,9.50,1.01,5.71,3.20,4.29,26.50,4.49,4.35,33.00,44.25,1.46,1.30,1.46,4.70,0.06
1361,3,white_wine,8.80,1.01,0.11,3.44,1.44,24.50,2.11,5.10,2.20,7.35,1.55,2.23,4.23,2.90,0.22
1362,4,white_wine,8.60,1.01,4.22,3.41,2.68,25.70,2.51,4.95,38.50,47.65,1.34,2.73,4.82,8.45,0.23
1363,3,white_wine,7.65,1.02,4.00,3.18,14.17,22.90,1.85,8.40,28.60,38.36,1.51,2.85,2.63,7.65,0.06
1364,3,white_wine,7.60,1.02,4.18,3.11,11.51,25.30,4.09,6.90,59.40,78.01,1.10,4.65,4.23,8.20,0.16
1365,4,white_wine,9.40,1.01,1.73,3.20,4.39,25.30,3.96,4.20,6.60,18.90,1.61,1.24,2.77,5.30,0.09
1366,5,white_wine,9.10,1.01,4.20,3.38,1.73,23.30,1.85,5.25,24.20,38.95,1.30,2.54,3.80,3.85,0.21
1367,3,red_wine,8.00,1.02,5.07,3.49,2.87,29.90,8.71,4.20,22.00,26.93,1.90,4.28,4.23,3.55,0.19
1368,5,white_wine,9.45,1.01,6.31,3.30,1.54,21.70,1.32,5.55,19.80,34.10,1.35,1.67,3.94,3.40,0.15
1369,3,red_wine,8.00,1.02,3.81,3.88,2.68,23.10,5.02,2.10,8.80,25.07,1.72,6.51,6.28,1.55,0.32
1370,5,red_wine,9.05,1.02,7.95,3.34,2.68,28.10,3.96,6.15,5.50,13.19,1.08,5.83,5.26,0.20,0.18
1371,3,white_wine,8.30,1.02,5.55,3.34,9.52,24.90,3.83,3.90,35.20,39.23,1.89,2.54,3.50,6.40,0.11
1372,3,white_wine,7.75,1.02,4.12,3.43,8.00,23.50,2.51,3.75,58.30,67.43,1.44,2.73,3.07,9.80,0.23
1373,5,white_wine,10.05,1.01,4.85,3.63,2.68,21.90,3.43,3.30,19.80,38.41,0.81,1.30,8.18,6.45,0.06
1374,5,white_wine,8.55,1.01,0.00,3.28,3.15,23.70,1.72,4.65,42.90,57.23,1.64,2.29,6.28,5.75,0.05
1375,4,white_wine,8.80,1.01,8.45,3.22,2.30,21.90,3.43,3.75,12.10,19.73,1.15,2.05,4.67,5.20,0.23
1376,5,white_wine,7.65,1.02,1.43,3.64,15.17,24.70,1.45,7.35,53.90,65.70,1.23,3.04,2.04,6.40,0.00
1377,4,white_wine,9.20,1.01,3.15,3.45,6.19,23.10,3.30,4.20,44.00,62.45,1.97,0.56,1.46,4.85,0.19
1378,3,white_wine,8.55,1.01,4.79,3.25,2.30,25.90,1.72,5.85,22.00,31.04,1.28,2.98,4.38,6.60,0.12
1379,2,white_wine,8.05,1.02,3.68,3.50,1.63,23.90,2.90,4.50,25.30,40.24,1.50,2.73,4.67,9.00,0.11
1380,5,white_wine,7.45,1.02,2.63,3.10,13.41,24.90,1.06,4.50,35.20,50.36,0.86,2.91,3.21,8.10,0.15
1381,3,white_wine,7.55,1.02,3.34,3.13,18.88,23.90,2.77,6.00,38.50,53.73,1.14,2.11,3.65,7.50,0.13
1382,5,white_wine,7.50,1.02,5.67,3.47,14.08,22.90,4.75,6.60,30.80,44.85,1.88,2.42,4.67,11.10,0.02
1383,4,red_wine,8.75,1.02,4.03,3.59,2.77,24.10,8.05,1.05,15.40,24.87,1.59,5.08,5.55,0.75,0.40
1384,3,white_wine,7.85,1.02,9.55,3.39,8.29,22.90,2.51,6.75,56.10,60.83,1.29,2.54,3.80,9.50,0.03
1385,4,white_wine,8.20,1.02,2.66,3.71,6.86,24.30,2.90,5.40,47.85,50.59,1.49,2.85,6.13,11.40,0.13
1386,5,white_wine,7.60,1.02,4.70,3.20,12.56,23.70,1.32,4.50,19.80,36.52,1.97,3.29,4.38,8.25,0.05
1387,5,white_wine,8.85,1.01,2.98,3.31,1.92,22.10,0.66,5.40,24.20,37.03,1.51,2.67,4.09,3.30,0.03
1388,5,white_wine,9.60,1.01,3.06,3.45,2.96,23.30,3.56,3.90,19.80,29.27,1.96,2.23,3.80,6.15,0.11
1389,3,white_wine,7.85,1.02,2.99,3.35,11.04,24.30,3.04,3.75,34.10,48.73,2.07,2.42,2.63,6.50,0.12
1390,4,red_wine,8.95,1.02,2.45,3.59,1.92,24.70,4.75,3.00,25.30,39.85,1.02,2.48,5.11,2.90,0.34
1391,4,white_wine,8.30,1.02,4.50,3.74,10.76,23.30,1.45,6.45,57.20,52.81,1.32,2.23,8.03,7.40,0.20
1392,4,red_wine,8.10,1.02,15.97,3.27,3.15,37.50,4.42,10.20,17.60,30.80,1.41,4.71,8.47,1.85,0.38
1393,3,red_wine,8.65,1.03,3.63,3.12,4.39,41.30,7.46,7.35,9.90,19.60,1.15,5.33,7.59,0.85,0.12
1394,4,white_wine,8.93,1.01,0.74,3.54,1.54,21.10,1.06,4.65,33.00,44.06,1.27,1.05,3.21,3.10,0.23
1395,5,white_wine,9.00,1.01,3.17,3.52,2.77,22.50,2.90,4.50,30.80,42.76,0.50,1.98,5.69,3.80,0.21
1396,3,red_wine,8.10,1.02,8.53,3.50,2.02,28.10,9.31,3.60,9.90,17.09,0.89,4.28,6.57,0.75,0.42
1397,3,white_wine,8.35,1.01,2.04,3.62,1.73,23.50,1.19,4.05,41.80,51.75,1.46,1.43,4.38,7.15,0.17
1398,4,white_wine,8.55,1.02,9.74,3.28,9.80,24.30,4.09,4.50,30.80,45.58,1.19,1.74,2.92,5.90,0.12
1399,3,white_wine,7.50,1.02,5.98,3.51,16.64,23.10,1.85,3.75,47.30,69.05,2.25,2.54,2.19,6.60,0.12
1400,3,red_wine,7.95,1.02,3.64,3.60,2.87,25.50,8.25,1.50,8.80,26.34,0.88,4.65,3.94,1.00,0.11
1401,5,white_wine,8.45,1.02,1.21,3.20,6.96,24.90,2.24,5.55,14.30,23.25,1.40,0.68,3.80,4.35,0.05
1402,3,white_wine,8.15,1.01,2.24,3.45,1.35,19.90,3.50,5.10,34.10,42.50,1.14,3.66,2.63,6.85,0.17
1403,5,white_wine,9.30,1.01,1.99,3.76,1.82,23.30,1.06,6.00,51.70,60.75,1.44,2.17,4.38,6.85,0.02
1404,5,white_wine,9.25,1.01,4.48,3.46,8.95,22.30,2.11,4.80,44.00,48.63,1.03,1.36,0.58,6.40,0.19
1405,3,red_wine,7.85,1.02,10.99,3.67,2.96,25.10,6.86,4.80,13.20,25.15,0.62,5.83,5.84,4.60,0.35
1406,4,white_wine,9.35,1.01,7.40,3.16,1.54,24.50,2.11,4.50,11.00,20.94,1.79,1.74,2.04,4.45,0.24
1407,3,white_wine,8.35,1.01,2.82,3.43,1.73,22.30,1.72,2.85,55.00,69.06,1.15,2.29,2.48,6.25,0.13
1408,3,white_wine,7.70,1.02,5.00,3.41,8.47,24.50,4.22,3.60,48.40,67.24,1.14,2.85,4.38,7.25,0.08
1409,6,white_wine,9.35,1.01,3.40,3.29,6.19,24.10,5.94,6.45,5.50,15.13,1.91,1.24,4.09,3.50,0.21
1410,4,white_wine,9.45,1.01,2.21,3.43,3.34,22.10,4.75,3.90,61.60,71.24,1.61,2.73,2.48,6.10,0.19
1411,3,red_wine,7.85,1.02,4.32,3.50,3.15,26.70,7.52,1.50,17.60,30.15,0.75,4.96,4.82,1.70,0.44
1412,2,white_wine,8.60,1.02,5.07,3.16,5.72,27.50,3.04,3.15,29.70,37.28,1.74,1.86,4.38,3.05,0.09
1413,3,white_wine,8.35,1.01,2.90,3.22,1.44,24.10,5.15,1.05,17.60,41.94,1.63,1.61,1.75,7.25,0.21
1414,4,white_wine,8.05,1.02,4.28,3.41,8.57,23.70,0.40,4.05,48.40,55.40,1.01,2.17,2.19,4.90,0.03
1415,4,red_wine,9.05,1.02,3.94,3.54,2.30,24.10,4.62,4.50,5.50,13.38,1.24,4.71,3.50,1.65,0.08
1416,3,white_wine,7.85,1.01,6.24,3.44,1.16,22.30,4.88,4.05,13.20,22.51,1.03,1.86,1.46,3.80,0.04
1417,3,white_wine,8.10,1.02,4.41,3.35,9.33,26.10,2.90,7.35,50.60,61.74,2.06,2.29,3.80,9.10,0.08
1418,3,white_wine,8.10,1.02,4.03,3.55,1.16,23.30,10.89,2.85,17.60,34.50,1.68,2.42,4.96,9.90,0.02
1419,4,red_wine,9.45,1.02,2.03,3.51,4.49,,5.15,7.35,5.50,14.96,1.74,4.71,6.72,2.05,0.05
1420,4,red_wine,7.90,1.02,5.12,3.74,2.40,24.50,5.54,2.70,12.10,24.11,1.49,3.84,7.30,1.25,0.18
1421,3,white_wine,7.50,1.02,4.11,3.38,17.83,25.10,2.38,3.90,35.20,53.43,0.89,4.65,2.48,6.65,0.09
1422,4,white_wine,7.70,1.02,2.83,3.19,11.80,25.30,1.85,4.20,73.70,83.32,1.65,2.91,1.17,6.85,0.15
1423,3,white_wine,8.00,1.02,11.13,3.57,5.15,23.90,1.45,5.25,34.10,43.72,0.87,3.60,3.80,7.20,0.12
1424,3,red_wine,7.75,1.02,12.63,3.48,1.92,24.30,6.34,2.10,6.60,21.23,1.05,4.28,5.84,0.60,0.22
1425,3,white_wine,7.70,1.02,5.00,3.20,14.27,25.30,2.71,4.80,34.10,47.99,1.51,3.35,3.36,9.75,0.09
1426,4,white_wine,7.70,1.02,2.01,3.46,8.29,23.90,3.17,3.90,34.10,45.81,2.03,2.73,4.23,8.70,0.10
1427,4,white_wine,8.35,1.02,7.49,3.22,9.80,27.10,1.98,6.00,25.30,40.43,1.85,1.67,2.92,4.10,0.07
1428,4,red_wine,7.60,1.02,4.15,3.58,2.21,24.50,7.26,0.00,14.30,31.68,1.48,5.46,5.26,1.60,0.10
1429,4,white_wine,8.00,1.02,5.97,3.51,8.09,24.10,1.58,5.70,45.10,54.39,1.01,2.54,4.67,8.35,0.21
1430,3,white_wine,7.85,1.02,8.64,3.52,4.20,23.50,2.38,3.90,37.95,55.64,0.96,4.34,6.72,10.50,0.22
1431,4,white_wine,8.25,1.02,3.63,3.83,1.63,22.70,1.06,3.30,18.70,30.82,1.42,2.29,4.82,3.00,0.02
1432,4,red_wine,8.00,1.02,3.53,3.23,2.49,33.10,3.04,7.65,14.30,36.61,1.01,4.34,10.37,1.10,0.05
1433,4,red_wine,8.55,1.02,28.41,3.43,5.25,26.50,2.11,5.10,7.70,16.47,0.63,3.29,10.51,0.80,0.26
1434,5,white_wine,8.80,1.01,2.51,3.35,1.35,22.50,0.26,6.15,17.60,25.25,1.20,1.92,4.96,3.50,0.12
1435,4,white_wine,7.90,1.02,4.02,3.51,12.46,24.70,2.64,5.40,40.70,54.08,0.78,1.92,8.32,6.70,0.08
1436,5,red_wine,9.35,1.02,4.17,3.52,2.68,26.70,3.04,5.85,17.60,23.29,1.26,4.28,8.03,1.85,0.14
1437,4,white_wine,8.70,1.01,2.37,3.33,3.06,23.70,4.22,4.35,28.60,41.86,1.57,2.17,2.92,4.55,0.20
1438,6,red_wine,10.10,1.01,9.07,3.72,2.11,21.10,5.41,0.45,29.70,41.13,2.49,2.17,8.76,4.05,0.01
1439,4,white_wine,9.10,1.01,4.30,3.51,2.30,24.50,1.58,4.50,46.20,52.03,1.34,1.86,2.77,9.10,0.03
1440,5,white_wine,8.70,1.01,3.04,3.41,1.73,23.30,0.53,3.75,22.00,21.98,1.49,1.86,3.36,6.25,0.13
1441,4,white_wine,8.60,1.02,10.79,3.41,13.27,23.10,3.70,4.65,20.90,30.57,0.77,2.73,4.96,5.35,0.03
1442,5,white_wine,7.60,1.02,2.56,3.49,14.08,24.70,2.64,6.30,52.80,53.70,1.35,1.92,8.76,8.35,0.11
1443,4,white_wine,7.90,1.02,3.38,3.37,12.75,23.70,2.51,4.50,74.80,95.85,1.76,2.36,4.09,7.70,0.18
1444,4,white_wine,8.78,1.02,0.63,3.45,9.09,23.10,2.77,4.50,26.40,35.34,1.50,2.60,4.96,8.00,0.24
1445,4,white_wine,8.95,1.01,0.23,3.51,3.15,22.90,1.45,6.30,34.10,35.19,1.78,1.43,2.77,3.85,0.21
1446,4,white_wine,8.65,1.02,2.58,3.56,2.11,25.30,1.58,5.10,45.10,53.90,1.38,1.98,6.42,7.10,0.20
1447,3,white_wine,8.80,1.02,5.91,3.64,2.30,24.90,1.85,4.95,33.00,50.79,1.25,2.23,4.82,4.75,0.03
1448,4,white_wine,7.50,1.02,5.90,3.49,14.65,27.70,1.58,6.45,64.90,76.58,1.17,2.73,8.32,8.90,0.03
1449,5,white_wine,7.65,1.02,7.85,3.57,14.41,24.70,1.85,6.00,47.85,55.48,1.65,2.05,2.77,6.17,0.15
1450,3,white_wine,7.75,1.02,7.37,3.27,4.20,22.90,1.32,7.20,69.30,82.76,1.30,10.97,2.63,7.20,0.00
1451,2,white_wine,7.85,1.02,14.49,3.43,1.73,23.90,3.17,2.40,15.40,20.84,1.71,2.60,2.34,4.50,0.02
1452,4,white_wine,8.90,1.01,0.75,3.37,2.30,23.90,1.19,4.50,13.20,16.95,1.37,2.36,4.23,5.55,0.01
1453,3,white_wine,7.95,1.02,4.06,3.30,10.56,28.50,1.98,5.25,36.30,46.18,1.20,1.74,1.46,6.95,0.04
1454,5,red_wine,9.20,1.02,4.73,3.48,4.77,28.90,4.16,6.90,2.20,16.48,1.36,5.27,6.13,0.20,0.41
1455,4,white_wine,8.30,1.01,3.25,3.23,3.06,22.90,1.19,4.50,35.20,38.85,1.29,1.55,3.94,5.95,0.06
1456,3,red_wine,7.50,1.02,3.22,3.37,13.51,29.90,5.54,7.50,51.70,61.86,1.58,12.15,7.74,3.80,0.09
1457,4,white_wine,7.95,1.01,8.50,3.33,1.44,23.10,1.72,6.30,35.20,46.82,0.95,3.10,2.34,4.75,0.07
1458,5,white_wine,8.05,1.01,2.01,3.50,1.92,24.90,1.85,4.05,48.40,49.51,1.26,2.98,3.21,4.60,0.19
1459,4,white_wine,8.00,1.02,2.16,3.31,11.42,24.50,3.83,6.00,36.30,38.70,1.38,1.43,4.23,10.40,0.17
1460,4,red_wine,8.55,1.02,7.54,3.69,1.82,28.70,3.70,5.85,44.00,48.17,0.88,4.40,7.45,2.45,0.06
1461,5,red_wine,7.85,1.02,5.60,3.59,2.21,25.10,5.81,2.40,12.10,18.13,1.19,4.71,5.84,1.45,0.25
1462,5,white_wine,8.60,1.01,1.72,3.36,1.44,23.70,1.32,4.20,34.10,42.49,0.53,1.12,3.36,5.30,0.11
1463,4,red_wine,8.85,1.02,11.52,3.50,1.54,24.70,2.97,5.85,6.60,15.24,1.20,3.10,4.38,0.25,0.42
1464,6,white_wine,9.45,1.01,8.14,3.28,8.76,26.10,4.88,5.40,53.90,71.92,1.51,1.05,0.44,7.25,0.03
1465,4,white_wine,7.70,1.02,2.64,3.45,7.33,22.90,2.51,7.35,57.20,70.27,1.23,2.29,3.07,10.00,0.14
1466,5,red_wine,8.65,1.02,2.26,3.39,1.82,28.70,3.30,6.75,19.80,33.87,1.16,2.98,9.78,1.55,0.26
1467,3,white_wine,7.95,1.02,4.31,3.50,6.77,24.70,2.51,5.85,29.70,45.63,1.51,3.41,1.17,9.10,0.03
1468,4,red_wine,8.35,1.02,4.21,3.57,2.02,,5.68,0.30,13.20,30.67,0.75,4.65,4.67,1.25,0.24
1469,3,red_wine,7.85,1.02,7.39,3.29,2.68,27.30,5.15,7.05,6.60,19.13,1.07,4.03,3.50,1.15,0.10
1470,6,white_wine,9.70,1.01,4.99,3.41,2.96,20.90,5.94,2.40,36.30,52.82,2.04,1.67,4.53,6.10,0.24
1471,3,red_wine,8.00,1.02,4.09,3.62,2.21,23.90,7.26,0.30,18.70,22.83,0.93,4.28,7.74,1.20,0.22
1472,2,white_wine,7.70,1.02,3.26,3.28,1.82,24.50,6.20,1.35,16.50,33.95,1.53,6.14,5.11,7.25,0.12
1473,4,white_wine,7.70,1.02,2.51,3.11,13.99,24.10,1.06,3.75,28.60,40.37,1.70,2.17,3.50,7.15,0.05
1474,5,white_wine,8.50,1.02,6.12,3.63,4.87,22.50,1.19,4.20,41.80,52.72,1.42,1.74,3.50,6.35,0.19
1475,5,white_wine,8.60,1.01,4.23,3.48,5.82,22.70,3.56,4.50,7.70,19.23,1.34,1.61,2.77,4.55,0.25
1476,4,white_wine,8.40,1.02,3.99,3.67,2.58,23.50,2.51,3.90,66.00,83.02,1.71,2.11,5.99,8.75,0.11
1477,3,red_wine,9.15,1.01,7.18,3.77,1.92,22.70,6.86,1.50,12.10,22.98,1.23,2.42,4.23,1.00,0.15
1478,4,white_wine,7.60,1.02,0.26,3.55,15.60,23.90,3.17,4.05,62.70,75.31,1.48,1.55,5.55,8.95,0.11
1479,3,white_wine,8.05,1.02,4.55,3.43,2.30,25.30,2.51,4.95,19.80,21.04,1.70,3.10,4.96,8.45,0.17
1480,4,white_wine,9.30,1.01,2.37,3.34,1.82,22.90,2.11,4.05,37.40,45.51,1.44,1.92,1.17,4.95,0.13
1481,5,white_wine,8.65,1.01,4.56,3.76,1.44,22.10,1.45,4.35,72.60,76.35,1.48,2.36,5.40,7.30,0.04
1482,5,white_wine,8.95,1.01,3.07,3.75,3.44,22.70,4.36,4.50,52.80,55.25,2.43,1.30,8.32,7.90,0.20
1483,4,red_wine,8.45,1.02,3.39,3.50,3.82,28.90,5.54,5.10,4.40,20.21,2.22,4.53,4.38,0.40,0.34
1484,3,red_wine,8.00,1.02,4.68,3.77,2.77,24.30,6.73,0.15,20.90,32.59,1.72,4.22,5.40,3.95,0.11
1485,3,white_wine,8.70,1.01,0.05,3.30,1.44,26.10,1.98,6.15,37.40,51.12,1.39,2.42,3.65,7.20,0.17
1486,5,white_wine,9.10,1.01,3.51,3.36,4.77,25.10,2.38,4.50,30.80,34.74,1.60,1.12,2.34,4.30,0.20
1487,3,red_wine,7.80,1.02,2.81,3.37,2.21,28.10,7.13,0.60,28.60,31.22,1.59,8.49,7.01,4.20,0.35
1488,3,red_wine,7.90,1.02,9.35,3.51,2.11,24.90,7.39,1.05,7.70,9.83,1.29,5.64,5.26,0.85,0.05
1489,3,red_wine,7.85,1.02,9.41,3.44,3.25,28.50,6.60,3.00,15.40,25.61,1.67,4.46,5.40,5.45,0.27
1490,4,red_wine,8.00,1.02,5.63,3.41,2.40,27.10,6.67,2.70,4.40,10.33,1.24,4.28,3.80,1.20,0.10
1491,4,red_wine,8.30,1.02,4.13,3.52,2.21,25.70,5.54,4.50,7.70,18.72,1.86,4.09,4.96,0.80,0.31
1492,3,white_wine,8.65,1.01,7.00,3.34,2.30,24.50,2.64,5.70,24.20,39.93,1.46,2.67,4.38,7.50,0.01
1493,4,red_wine,7.85,1.02,2.22,3.45,2.58,26.10,8.38,3.30,13.20,25.24,1.10,4.09,4.67,3.75,0.13
1494,4,white_wine,8.15,1.02,2.44,3.41,16.93,23.10,2.24,4.05,30.80,43.42,1.62,3.41,3.94,6.70,0.14
1495,3,white_wine,7.85,1.02,2.02,3.35,7.24,23.50,2.24,3.45,66.00,80.91,1.34,1.80,1.90,10.70,0.19
1496,3,white_wine,7.70,1.02,1.34,3.78,7.71,22.50,4.75,2.70,29.70,37.55,2.09,5.39,7.30,10.20,0.02
1497,4,white_wine,8.10,1.02,2.39,3.38,11.13,25.10,1.19,6.60,70.40,77.63,1.39,2.29,3.36,7.00,0.16
1498,5,red_wine,8.35,1.02,3.36,3.59,5.72,27.90,4.22,4.80,9.90,25.09,2.02,4.84,8.03,2.05,0.06
1499,4,red_wine,8.47,1.02,7.18,3.51,2.21,23.50,10.23,0.30,30.80,41.92,1.36,3.41,4.96,1.60,0.17
1500,3,red_wine,7.75,1.02,6.19,3.53,6.67,27.30,8.51,3.60,33.00,54.28,1.80,6.70,12.41,6.40,0.02
1501,4,white_wine,8.30,1.01,6.44,3.53,1.92,22.30,4.36,3.60,16.50,27.92,1.53,2.48,4.09,6.55,0.16
1502,3,red_wine,7.70,1.02,11.07,3.31,2.11,25.10,6.73,3.30,46.20,56.71,0.72,4.53,2.92,2.70,0.38
1503,4,white_wine,8.80,1.01,7.34,3.22,3.44,25.30,2.51,7.80,29.70,34.63,1.07,2.11,4.53,7.30,0.23
1504,3,red_wine,8.35,1.02,4.48,3.36,2.77,28.90,4.22,7.05,5.50,21.98,1.03,4.84,4.09,0.70,0.25
1505,4,white_wine,7.70,1.02,4.14,3.31,2.02,22.90,2.64,8.40,52.80,66.04,1.27,9.11,2.19,5.00,0.16
1506,3,red_wine,7.80,1.02,8.97,3.45,2.68,29.30,10.56,4.20,31.90,41.16,1.28,4.77,4.53,7.05,0.26
1507,5,red_wine,7.85,1.02,9.68,3.57,2.30,25.70,6.60,0.30,8.80,14.22,1.35,3.97,5.11,0.60,0.30
1508,5,white_wine,9.35,1.01,3.63,3.13,5.82,24.50,3.70,5.40,27.50,40.74,1.47,1.80,5.40,4.60,0.21
1509,3,white_wine,7.95,1.02,4.17,3.56,1.92,,4.09,5.25,9.90,25.48,1.22,2.48,4.23,7.90,0.07
1510,3,white_wine,9.10,1.01,2.00,3.46,3.15,23.50,2.11,6.15,51.70,66.91,1.42,1.86,3.07,5.80,0.19
1511,3,white_wine,8.75,1.01,2.04,3.35,6.10,24.90,3.56,3.60,29.70,38.65,1.23,2.05,3.21,5.85,0.01
1512,3,white_wine,7.70,1.02,3.07,3.39,13.99,25.50,2.90,6.30,48.40,61.68,1.35,2.23,5.99,10.35,0.09
1513,5,white_wine,8.75,1.01,3.13,3.36,4.10,23.30,1.98,3.60,38.50,37.53,1.87,2.23,6.13,6.60,0.14
1514,4,red_wine,7.95,1.02,6.53,3.77,2.58,24.30,6.73,0.30,25.30,43.89,1.41,4.53,4.53,4.40,0.17
1515,4,white_wine,8.65,1.01,3.82,3.38,1.82,24.50,2.24,4.80,25.30,40.25,0.89,2.79,3.80,4.95,0.21
1516,5,white_wine,8.50,1.01,13.91,3.55,1.54,22.30,2.24,4.50,45.10,49.13,1.46,1.67,4.96,5.05,0.05
1517,3,white_wine,7.85,1.02,2.08,3.44,8.19,22.90,2.38,3.15,55.00,68.51,1.36,2.54,3.80,8.80,0.07
1518,3,white_wine,7.80,1.02,8.34,3.29,12.65,23.90,4.22,2.55,63.80,73.41,1.11,1.49,3.94,9.00,0.00
1519,4,white_wine,8.40,1.02,4.92,3.27,25.15,23.70,4.88,4.20,28.60,44.05,1.53,1.36,2.92,5.80,0.22
1520,4,white_wine,8.70,1.01,10.92,3.48,1.82,24.70,1.85,3.90,34.10,46.41,1.17,1.92,3.80,8.30,0.02
1521,3,red_wine,7.75,1.02,2.51,3.50,2.02,25.90,3.30,3.45,18.70,29.61,1.18,4.22,6.28,1.95,0.08
1522,4,white_wine,7.50,1.02,5.27,3.44,16.74,22.50,1.98,5.40,39.60,48.54,1.43,1.86,3.07,6.20,0.12
1523,4,white_wine,8.85,1.01,5.04,3.64,2.02,22.70,1.72,6.00,51.70,59.74,1.06,1.36,3.94,6.40,0.22
1524,4,white_wine,8.50,1.01,6.71,3.43,2.77,21.90,4.75,5.40,12.10,33.39,1.01,1.30,3.80,3.35,0.24
1525,5,white_wine,8.65,1.01,3.56,3.53,1.82,22.30,2.51,4.65,17.60,26.96,1.09,1.61,3.21,3.85,0.28
1526,2,red_wine,8.70,1.02,4.35,3.76,3.34,25.10,13.66,1.50,4.40,13.74,1.49,4.77,5.55,0.30,0.20
